cole_naturaleza;cole_bilingue;cole_calendario;cole_jornada;fami_tieneautomovil;fami_estratovivienda;fami_tieneinternet;fami_tienecomputador;estu_edad_cat;desemp_ingles;target
OFICIAL;N;A;SABATINA;No;Estrato 1 y 2;No;Si;>= 26;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;>= 26;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;No;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;A1;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;No;<= 25;A1;High
OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;Si;>= 26;A-;Low
OFICIAL;N;A;UNICA;Si;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A1;Very High
NO OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
NO OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;No;No;<= 25;B1;Very High
OFICIAL;N;A;NOCHE;No;Estrato 3;No;Si;<= 25;A-;Low
NO OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;NOCHE;No;Estrato 3;No;No;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
OFICIAL;N;A;NOCHE;No;Estrato 4;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;No;No;>= 26;A1;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;No;No;<= 25;A2;High
OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;B+;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;High
NO OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A1;Low
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A2;Very High
OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A1;High
NO OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;No;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A-;Medium
NO OFICIAL;N;A;COMPLETA;Si;Sin Estrato;No;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;No;<= 25;A1;High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A2;High
OFICIAL;N;A;MAÑANA;Si;Estrato 4;Si;Si;<= 25;A2;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
NO OFICIAL;N;A;MAÑANA;Si;Estrato 4;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;No;<= 25;A1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 5 y 6;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A1;High
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A2;High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;>= 26;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A2;High
OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A1;Medium
NO OFICIAL;N;B;UNICA;Si;Estrato 3;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;No;No;>= 26;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;No;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
NO OFICIAL;N;OTRO;UNICA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A1;Medium
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
NO OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
OFICIAL;N;A;TARDE;Si;Estrato 3;No;No;<= 25;A1;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A2;Medium
OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A-;High
NO OFICIAL;N;A;NOCHE;Si;Estrato 4;Si;Si;<= 25;B1;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;NOCHE;No;Sin Estrato;Si;Si;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A-;Medium
NO OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;SABATINA;No;Estrato 3;Si;No;>= 26;A-;Medium
NO OFICIAL;N;OTRO;SABATINA;No;Estrato 4;Si;No;<= 25;A1;Medium
NO OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;No;No;<= 25;A1;Medium
OFICIAL;N;A;MAÑANA;No;Estrato 5 y 6;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;No;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;No;No;<= 25;A1;High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 4;Si;Si;<= 25;B+;Very High
OFICIAL;N;A;NOCHE;No;Estrato 3;Si;No;>= 26;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;No;No;<= 25;A-;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A1;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Sin Estrato;No;Si;<= 25;A2;High
OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;No;<= 25;A1;Medium
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A-;Low
OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A1;Medium
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
OFICIAL;N;A;NOCHE;Si;Estrato 5 y 6;Si;No;<= 25;A1;High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;No;<= 25;A2;Very High
OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;Si;No;<= 25;A-;Medium
OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;UNICA;No;Estrato 4;Si;Si;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 5 y 6;Si;Si;<= 25;A1;Very High
OFICIAL;N;A;COMPLETA;No;Estrato 3;No;No;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A2;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A1;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A2;Medium
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;No;Si;<= 25;A1;Medium
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A1;High
OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;No;Si;<= 25;A2;High
OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A-;High
OFICIAL;N;A;NOCHE;Si;Estrato 1 y 2;No;Si;<= 25;A-;Low
OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;A1;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;No;No;<= 25;A1;Medium
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;TARDE;No;Estrato 4;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Sin Estrato;No;No;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A-;Low
NO OFICIAL;N;A;MAÑANA;Si;Estrato 3;No;Si;>= 26;A-;Low
NO OFICIAL;S;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A2;High
OFICIAL;N;A;TARDE;No;Estrato 4;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A2;Medium
OFICIAL;N;A;SABATINA;Si;Estrato 3;Si;Si;<= 25;A2;High
OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A1;High
OFICIAL;N;A;NOCHE;Si;Estrato 1 y 2;No;Si;>= 26;A-;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;B+;High
NO OFICIAL;N;A;TARDE;No;Estrato 5 y 6;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;UNICA;No;Estrato 1 y 2;No;No;<= 25;A-;Low
NO OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
OFICIAL;N;A;NOCHE;Si;Estrato 4;Si;No;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A1;Low
OFICIAL;N;A;TARDE;Si;Sin Estrato;No;Si;<= 25;A-;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A1;Very High
OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;No;No;<= 25;A-;Low
OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;MAÑANA;No;Estrato 5 y 6;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
OFICIAL;N;A;TARDE;Si;Estrato 3;Si;No;<= 25;A-;Low
NO OFICIAL;N;A;NOCHE;No;Estrato 3;No;No;<= 25;A2;High
OFICIAL;N;A;MAÑANA;Si;Estrato 4;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 5 y 6;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 5 y 6;Si;No;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;>= 26;A1;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;No;Si;<= 25;A1;Low
NO OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;B1;High
NO OFICIAL;N;A;MAÑANA;Si;Estrato 4;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A1;Medium
NO OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A2;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A2;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 4;Si;Si;<= 25;B+;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Medium
OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;No;<= 25;A1;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
NO OFICIAL;N;OTRO;NOCHE;Si;Estrato 4;Si;Si;>= 26;B1;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;No;<= 25;A1;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A1;Low
NO OFICIAL;N;A;MAÑANA;Si;Estrato 4;Si;No;<= 25;A-;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 4;Si;Si;<= 25;A1;Medium
OFICIAL;N;A;UNICA;Si;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A1;Low
OFICIAL;N;A;UNICA;No;Estrato 3;Si;No;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A1;High
OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;Si;<= 25;A1;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;B1;Very High
OFICIAL;N;A;TARDE;Si;Estrato 3;No;Si;<= 25;A-;High
OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
NO OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;SABATINA;Si;Estrato 4;No;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Sin Estrato;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A-;Medium
NO OFICIAL;N;OTRO;UNICA;Si;Estrato 5 y 6;Si;Si;<= 25;B1;High
OFICIAL;N;A;TARDE;No;Sin Estrato;Si;No;<= 25;A-;Low
OFICIAL;N;A;SABATINA;No;Estrato 1 y 2;No;No;>= 26;A1;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;A-;Medium
OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;No;>= 26;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;No;Si;<= 25;A2;Medium
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A2;Very High
OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;No;No;<= 25;A-;Low
NO OFICIAL;S;B;COMPLETA;Si;Sin Estrato;Si;Si;<= 25;B+;Medium
NO OFICIAL;S;B;COMPLETA;Si;Sin Estrato;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;>= 26;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;A1;High
OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;No;<= 25;A1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
OFICIAL;N;A;SABATINA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;No;>= 26;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 4;Si;Si;<= 25;A1;High
NO OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Medium
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A1;High
NO OFICIAL;N;A;SABATINA;No;Estrato 4;Si;Si;<= 25;A-;Medium
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 3;No;No;<= 25;A-;Low
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B1;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;No;No;<= 25;B1;High
NO OFICIAL;S;A;COMPLETA;Si;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
OFICIAL;N;A;UNICA;Si;Estrato 5 y 6;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A2;Very High
OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;No;Si;<= 25;A-;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B1;Very High
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A1;Medium
NO OFICIAL;N;A;NOCHE;No;Estrato 3;Si;Si;<= 25;A1;Medium
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
NO OFICIAL;N;A;COMPLETA;No;Estrato 4;Si;Si;<= 25;A2;High
OFICIAL;N;A;NOCHE;No;Estrato 3;No;No;<= 25;A-;Low
OFICIAL;N;A;NOCHE;No;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;TARDE;No;Estrato 3;Si;No;<= 25;A2;High
OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;No;Si;<= 25;A1;High
OFICIAL;N;A;UNICA;Si;Estrato 4;Si;Si;<= 25;B1;High
NO OFICIAL;N;A;COMPLETA;Si;Estrato 4;Si;Si;<= 25;B+;Very High
NO OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;>= 26;A-;Medium
NO OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;NOCHE;Si;Estrato 3;No;No;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;No;<= 25;A1;Very High
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A1;High
NO OFICIAL;N;A;COMPLETA;No;Estrato 3;Si;Si;<= 25;A-;Low
OFICIAL;N;A;NOCHE;No;Estrato 1 y 2;Si;No;>= 26;A1;High
OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;Si;Estrato 3;No;Si;<= 25;A-;Low
NO OFICIAL;N;A;COMPLETA;No;Estrato 1 y 2;No;No;<= 25;A1;High
